com.android.traceur com.android.traceur
com.pubg.imobile com.pubg.imobile:intl_inner_webview
com.pubg.imobile com.pubg.imobile:networkDetector
com.pubg.imobile com.pubg.imobile:vlink
com.pubg.krmobile com.pubg.krmobile
com.pubg.krmobile com.pubg.krmobile:imsdk_inner_webview
com.pubg.krmobile com.pubg.krmobile:intl_inner_webview
com.pubg.krmobile com.pubg.krmobile:networkDetector
com.pubg.krmobile com.pubg.krmobile:vlink
com.rekoo.pubgm com.rekoo.pubgm
com.rekoo.pubgm com.rekoo.pubgm:imsdk_inner_webview
com.rekoo.pubgm com.rekoo.pubgm:intl_inner_webview
com.rekoo.pubgm com.rekoo.pubgm:networkDetector
com.rekoo.pubgm com.rekoo.pubgm:vlink
com.sitech.ac com.sitech.ac
com.sitech.ac com.sitech.ac.push.keepaliveservice
com.sitech.ac com.sitech.ac:AgentService
com.sitech.ac com.sitech.ac:dexopt
com.sitech.ac com.sitech.ac:dynamic
com.sitech.ac com.sitech.ac:pushservice
com.sitech.ac com.sitech.ac:remote
com.sitech.ac com.water.richprocess.push.keepaliveassistservice
com.sitech.ac com.water.richprocess.push.keepaliveservice
com.techlogix.mobilinkcustomer com.techlogix.mobilinkcustomer
com.techlogix.mobilinkcustomer com.techlogix.mobilinkcustomer:container
com.techlogix.mobilinkcustomer com.techlogix.mobilinkcustomer:pushservice
com.tencent.ig com.tencent.ig
com.tencent.ig com.tencent.ig:imsdk_inner_webview
com.tencent.ig com.tencent.ig:intl_inner_webview
com.tencent.ig com.tencent.ig:networkDetector
com.tencent.ig com.tencent.ig:playcore_missing_splits_activity
com.tencent.ig com.tencent.ig:plugin
com.tencent.ig com.tencent.ig:vlink
com.tencent.soter.soterserver com.tencent.soter.soterserver
com.vng.pubgmobile com.vng.pubgmobile
com.vng.pubgmobile com.vng.pubgmobile:imsdk_inner_webview
com.vng.pubgmobile com.vng.pubgmobile:intl_inner_webview
com.vng.pubgmobile com.vng.pubgmobile:networkDetector
com.vng.pubgmobile com.vng.pubgmobile:vlink
eu.thedarken.sdm eu.thedarken.sdm
icu.nullptr.applistdetector icu.nullptr.applistdetector
id.co.bri.brimo id.co.bri.brimo
io.github.vvb2060.magiskdetector io.github.vvb2060.magiskdetector
io.github.vvb2060.magiskdetector io.github.vvb2060.magiskdetector_zygote
io.github.vvb2060.mahoshojo io.github.vvb2060.mahoshojo
io.github.vvb2060.mahoshojo io.github.vvb2060.mahoshojo_zygote
isolated com.axis.mobile:com.lookout.rootdetectioncore.internal.processdetection.IsolatedProcessRootDetectionService
isolated com.msf.kbank.mobile:com.lookout.rootdetectioncore.internal.processdetection.IsolatedProcessRootDetectionService
isolated com.napsternetlabs.napsternetv:paf4bdf62da60f85cce01ca33:com.napsternetlabs.napsternetv.ProtectedNapsternetVApp$NapsternetVApp$a
isolated io.github.vvb2060.mahoshojo:io.github.vvb2060.mahoshojo.maho.MahoService2
isolated isolated
isolated sa.com.stcpay:com.lookout.rootdetectioncore.internal.processdetection.IsolatedProcessRootDetectionService
pk.com.telenor.phoenix pk.com.telenor.phoenix
pk.com.telenor.phoenix pk.com.telenor.phoenix:phoenix
pk.com.telenor.phoenix pk.com.telenor.phoenix:playcore_missing_splits_activity
